Outcome             	BEST
Average SAE         	57.1224663336316
Median SAE          	3.630642382829759
MSE                 	21.350589606782105
MAE                 	0.8632753163412875
Acc@100             	94.73133333333334
Acc@161             	96.005
Average CAE         	97.14063901745017
Median CAE          	47.03875416171589
Average 95% PRA     	5.7877121133727405
Median 95% PRA      	2.9956897498650576
PRA COVerage        	0.7470066666666667
Outcome             	ALL 3
Average SAE         	57.19130247060087
Median SAE          	3.6816462055878008
MSE                 	21.341014506627996
MAE                 	0.4321043145344873
Acc@100             	94.72033333333333
Acc@161             	96.00333333333333
Average CAE         	99.84322494836586
Median CAE          	47.643151346524434
Average 95% PRA     	8.826576905114056
Median 95% PRA      	7.581258966300876
PRA COVerage        	0.58095
