Outcome             	BEST
Average SAE         	1094.6138078166332
Median SAE          	769.7310232012596
MSE                 	141.878554113195
MAE                 	14.264336468087135
Acc@100             	0.4144736842105263
Acc@161             	0.8763157894736843
Average CAE         	1659.6462067284033
Median CAE          	1378.7820427028882
Average 95% PRA     	1676.6693654767037
Median 95% PRA      	1658.3572044843243
PRA COVerage        	0.028342105263157894
Outcome             	ALL 3
Average SAE         	1094.6138086046483
Median SAE          	769.7310234018382
MSE                 	141.87855446328854
MAE                 	7.132168239106902
Acc@100             	0.4144736842105263
Acc@161             	0.8763157894736843
Average CAE         	1658.9157483435374
Median CAE          	1377.346818732903
Average 95% PRA     	177.55978655591733
Median 95% PRA      	176.67033683902014
PRA COVerage        	0.09657017543859649
