Outcome             	BEST
Average SAE         	1215.7329909213397
Median SAE          	787.4934604866901
MSE                 	199.027752393994
MAE                 	15.800832527802372
Acc@100             	0.23947368421052634
Acc@161             	0.5342105263157895
Average CAE         	1773.335490256125
Median CAE          	1390.2649093982022
Average 95% PRA     	1658.4397793658538
Median 95% PRA      	1679.9652339034906
PRA COVerage        	0.01938157894736842
Outcome             	ALL 3
Average SAE         	1216.029780347764
Median SAE          	787.4934607697677
MSE                 	199.3000028756908
MAE                 	7.9021518988569746
Acc@100             	0.23947368421052634
Acc@161             	0.5342105263157895
Average CAE         	1773.0230774157867
Median CAE          	1389.7878439109427
Average 95% PRA     	175.83709034876665
Median 95% PRA      	177.81759959293902
PRA COVerage        	0.09093421052631578
