Outcome             	BEST
Average SAE         	1266.1940182232079
Median SAE          	37.688264739505954
MSE                 	743.222800867309
MAE                 	17.220915844783917
Acc@100             	62.153000000000006
Acc@161             	67.02466666666666
Average CAE         	1292.5292902055553
Median CAE          	62.64815599155605
Average 95% PRA     	27.22535086762321
Median 95% PRA      	2.9983193329878755
PRA COVerage        	0.21840666666666667
Outcome             	ALL 5
Average SAE         	1266.1951182548135
Median SAE          	37.68981554393958
MSE                 	743.2222789348478
MAE                 	8.610462794339353
Acc@100             	62.153666666666666
Acc@161             	67.02466666666666
Average CAE         	1292.554557406498
Median CAE          	62.64599706100019
Average 95% PRA     	14.736914482446378
Median 95% PRA      	7.515493132740927
PRA COVerage        	0.117392
