Outcome             	BEST
Average SAE         	3203.720367762154
Median SAE          	585.8696742244236
MSE                 	2027.3966353043922
MAE                 	44.29867222675726
Acc@100             	38.46633333333334
Acc@161             	41.17966666666666
Average CAE         	3225.9160141364423
Median CAE          	623.3095886278236
Average 95% PRA     	86.12589795786408
Median 95% PRA      	3.8511226439992745
PRA COVerage        	0.16536
Outcome             	ALL 5
Average SAE         	3203.720654187707
Median SAE          	585.8698625325562
MSE                 	2027.3946785780554
MAE                 	22.149332638486232
Acc@100             	38.46633333333334
Acc@161             	41.17966666666666
Average CAE         	3225.8762513200772
Median CAE          	623.4343025445885
Average 95% PRA     	29.854989140654062
Median 95% PRA      	8.514526081273205
PRA COVerage        	0.07474533333333333
