Outcome             	BEST
Average SAE         	552.887252254477
Median SAE          	32.92428538962793
MSE                 	314.9492124902332
MAE                 	7.626378681627015
Acc@100             	73.48566666666667
Acc@161             	78.86800000000001
Average CAE         	588.9925675399514
Median CAE          	64.98670458833743
Average 95% PRA     	36.763179226711436
Median 95% PRA      	3.3166217318692706
PRA COVerage        	0.08798
Outcome             	ALL 10
Average SAE         	553.176748588044
Median SAE          	33.23239487280529
MSE                 	315.00555681992574
MAE                 	3.814997443082041
Acc@100             	73.442
Acc@161             	78.847
Average CAE         	599.809585161102
Median CAE          	77.92234001691176
Average 95% PRA     	15.566235104908506
Median 95% PRA      	9.425969628868724
PRA COVerage        	0.110402
