Outcome             	BEST
Average SAE         	1876.1481224976758
Median SAE          	134.89082598225573
MSE                 	1145.2134790067066
MAE                 	25.60224848819392
Acc@100             	47.33266666666667
Acc@161             	51.528666666666666
Average CAE         	1908.385586945694
Median CAE          	209.7002456012217
Average 95% PRA     	45.47747936340816
Median 95% PRA      	11.299158256227699
PRA COVerage        	0.0764
Outcome             	ALL 3
Average SAE         	1876.2305436206989
Median SAE          	134.93077903759564
MSE                 	1145.2199094124885
MAE                 	12.801477918607013
Acc@100             	47.315000000000005
Acc@161             	51.52366666666667
Average CAE         	1911.8091583122218
Median CAE          	219.9153649029191
Average 95% PRA     	24.103429804960783
Median 95% PRA      	16.185895312036987
PRA COVerage        	0.22035
