Outcome             	BEST
Average SAE         	556.2925544063847
Median SAE          	36.54243725535712
MSE                 	314.97636029200527
MAE                 	7.659210079387742
Acc@100             	72.64399999999999
Acc@161             	78.51700000000001
Outcome             	ALL 3
Average SAE         	556.2938914782208
Median SAE          	36.54188096160445
MSE                 	314.9766550857815
MAE                 	3.8296141109586066
Acc@100             	72.64399999999999
Acc@161             	78.51700000000001
