Outcome             	BEST
Average SAE         	626.5331734393261
Median SAE          	69.84155282542723
MSE                 	317.31179424625583
MAE                 	8.472252410206108
Acc@100             	59.728
Acc@161             	70.66799999999999
Average CAE         	689.7891627867381
Median CAE          	156.3155615968835
Average 95% PRA     	37.68922225874048
Median 95% PRA      	17.541909748063617
PRA COVerage        	0.07858
Outcome             	ALL 5
Average SAE         	626.6558752911719
Median SAE          	70.04934056289767
MSE                 	317.2918178901608
MAE                 	4.236919440100403
Acc@100             	59.694
Acc@161             	70.65766666666666
Average CAE         	691.0206138642998
Median CAE          	158.53082102124682
Average 95% PRA     	21.285102514536906
Median 95% PRA      	18.52029142785464
PRA COVerage        	0.09724933333333333
