Outcome             	BEST
Average SAE         	2036.690820895306
Median SAE          	234.72389085167492
MSE                 	1191.569184271369
MAE                 	27.367099908307914
Acc@100             	38.20033333333333
Acc@161             	45.15166666666667
Average CAE         	2080.0969230715614
Median CAE          	356.8301489056366
Average 95% PRA     	56.656404871128125
Median 95% PRA      	43.787506290806675
PRA COVerage        	0.04188666666666667
Outcome             	ALL 5
Average SAE         	2036.7343356781525
Median SAE          	234.8195810981424
MSE                 	1191.543656971664
MAE                 	13.68385871031472
Acc@100             	38.18266666666666
Acc@161             	45.14666666666667
Average CAE         	2080.868258573548
Median CAE          	357.46473741475245
Average 95% PRA     	27.878607591261453
Median 95% PRA      	28.77262525130461
PRA COVerage        	0.06187533333333333
