Outcome             	BEST
Average SAE         	551.0441230576836
Median SAE          	29.00965624275
MSE                 	302.38285051052117
MAE                 	7.530359547384761
Acc@100             	73.82233333333333
Acc@161             	79.01599999999999
Average CAE         	587.602272535663
Median CAE          	61.428721501169356
Average 95% PRA     	25.972120676419227
Median 95% PRA      	3.0792380510887263
PRA COVerage        	0.12673666666666666
Outcome             	ALL 5
Average SAE         	551.3804664537547
Median SAE          	29.40809293191692
MSE                 	302.45819563128003
MAE                 	3.7675012125909304
Acc@100             	73.77966666666667
Acc@161             	78.98366666666666
Average CAE         	600.4000066790437
Median CAE          	79.12131175647453
Average 95% PRA     	15.252933884700132
Median 95% PRA      	9.642331701034896
PRA COVerage        	0.233652
