Outcome             	BEST
Average SAE         	1845.00937803803
Median SAE          	135.06693287939999
MSE                 	1102.7013834707896
MAE                 	25.130295035377046
Acc@100             	47.35433333333333
Acc@161             	51.53033333333333
Average CAE         	1887.652430082346
Median CAE          	187.72449180133725
Average 95% PRA     	97.19770537206963
Median 95% PRA      	3.6437647577106986
PRA COVerage        	0.07906
Outcome             	ALL 5
Average SAE         	1845.0441404326284
Median SAE          	135.87013273111606
MSE                 	1102.7810905095876
MAE                 	12.565707118988758
Acc@100             	47.30466666666667
Acc@161             	51.49433333333333
Average CAE         	1896.2714259390013
Median CAE          	214.6930851721048
Average 95% PRA     	27.91029143301712
Median 95% PRA      	15.158291563378132
PRA COVerage        	0.158866
