Outcome             	BEST
Average SAE         	1986.703707385929
Median SAE          	151.27159786246557
MSE                 	1209.6200475465141
MAE                 	26.87739020900269
Acc@100             	46.025666666666666
Acc@161             	50.599666666666664
Outcome             	ALL 5
Average SAE         	1986.5804809058
Median SAE          	151.271602511181
MSE                 	1209.4877847369746
MAE                 	13.43808280982075
Acc@100             	46.025666666666666
Acc@161             	50.599666666666664
