Outcome             	BEST
Average SAE         	7812.566795185766
Median SAE          	7809.646722224799
MSE                 	3769.8216207682385
MAE                 	94.56699774904601
Acc@100             	0.11199999999999999
Acc@161             	0.48766666666666664
Outcome             	ALL 5
Average SAE         	7812.559883244672
Median SAE          	7809.646722224799
MSE                 	3769.814875589674
MAE                 	47.283439786580686
Acc@100             	0.11199999999999999
Acc@161             	0.48766666666666664
