Outcome             	BEST
Average SAE         	580.6090313522942
Median SAE          	46.41566130380352
MSE                 	312.193184142252
MAE                 	7.915783033433179
Acc@100             	69.607
Acc@161             	76.45566666666667
Average CAE         	613.9193562319141
Median CAE          	81.65887706130992
Average 95% PRA     	21.852941664343778
Median 95% PRA      	3.7498956132762036
PRA COVerage        	0.07282666666666666
Outcome             	ALL 5
Average SAE         	580.970835247516
Median SAE          	46.88263239257573
MSE                 	312.16432163494824
MAE                 	3.9602365100725545
Acc@100             	69.53033333333335
Acc@161             	76.40966666666667
Average CAE         	635.19984691036
Median CAE          	106.95600581436469
Average 95% PRA     	15.877051629880834
Median 95% PRA      	11.788060470218173
PRA COVerage        	0.12605666666666668
