Outcome             	BEST
Average SAE         	1547.0540351194697
Median SAE          	176.21210408917602
MSE                 	839.0551868683772
MAE                 	20.879623384049147
Acc@100             	41.24033333333333
Acc@161             	48.747
Average CAE         	1710.817416332019
Median CAE          	423.7717242604772
Average 95% PRA     	546.0467202967111
Median 95% PRA      	59.65755199413765
PRA COVerage        	0.11468333333333333
Outcome             	ALL 5
Average SAE         	1547.3396256779183
Median SAE          	176.48929304210884
MSE                 	839.1979633426333
MAE                 	10.440824292898615
Acc@100             	41.199000000000005
Acc@161             	48.708666666666666
Average CAE         	1708.7545371274753
Median CAE          	442.1363776181922
Average 95% PRA     	58.81665073457992
Median 95% PRA      	38.20872910249881
PRA COVerage        	0.08802666666666667
