Outcome             	BEST
Average SAE         	9914.668096263977
Median SAE          	9995.085508992233
MSE                 	5357.341812998586
MAE                 	119.35189060703888
Acc@100             	0.0
Acc@161             	0.0
Average CAE         	9914.562013061304
Median CAE          	10002.199218399091
Average 95% PRA     	12.175786353180174
Median 95% PRA      	11.89449912855745
PRA COVerage        	0.0
Outcome             	ALL 5
Average SAE         	9926.753104973639
Median SAE          	10001.339856228697
MSE                 	5363.141463231329
MAE                 	59.75125683217192
Acc@100             	0.0
Acc@161             	0.0
Average CAE         	9927.272739097398
Median CAE          	10007.489719519272
Average 95% PRA     	16.772039178406793
Median 95% PRA      	16.734159757402896
PRA COVerage        	0.0
