Outcome             	BEST
Average SAE         	1162.604288374721
Median SAE          	598.8986795557007
MSE                 	198.96711438281176
MAE                 	14.63374204393779
Acc@100             	39.416333333333334
Acc@161             	41.291666666666664
Average CAE         	1204.8100220315987
Median CAE          	679.5672225740713
Average 95% PRA     	104.09604027290496
Median 95% PRA      	63.443590773093476
PRA COVerage        	0.20825333333333335
Outcome             	ALL 5
Average SAE         	1162.604288516567
Median SAE          	598.8986795584461
MSE                 	198.96711445363616
MAE                 	7.316871022877962
Acc@100             	39.416333333333334
Acc@161             	41.291666666666664
Average CAE         	1204.9063324921221
Median CAE          	678.7367829126739
Average 95% PRA     	35.27105756637679
Median 95% PRA      	34.555602828281465
PRA COVerage        	0.11697533333333333
